Date,Close,High,Low,Open,Volume,RSI,MA_20,MA_50,MA_100,MACD,MACD_hist,MACD_signal
2018-02-12,5896.599609375,5934.519864097669,5877.639482013666,5896.599609375,3646800,47.76988689087881,5986.6597900390625,5851.0949609375,6004.861577148437,-2.20885285980512,-18.20009780729346,15.991244947488342
2018-02-13,5877.63916015625,5934.519539125504,5858.679033833166,5858.679033833166,10107000,46.68886903802657,5980.97177734375,5857.920595703125,5998.983940429687,-6.357349331495243,-17.87887542318687,11.521526091691626
2018-02-14,5934.51953125,5953.479657547923,5877.63915235623,5877.63915235623,3861800,50.3209102293756,5976.23173828125,5865.5046484375,5993.485502929688,-4.997681929114151,-13.215366416644622,8.217684487530471
2018-02-15,5915.55908203125,5953.479332557092,5915.55908203125,5953.479332557092,4137500,49.11959081821157,5972.439721679688,5872.7094921875,5988.935068359375,-5.387976273141248,-10.884528608537376,5.496552335396128
2018-02-16,5915.55908203125,5915.55908203125,5915.55908203125,5915.55908203125,0,49.11959081821156,5967.699682617187,5879.1559375,5984.195029296875,-5.632361001104982,-8.903130669200888,3.270769668095906
2018-02-19,5953.4794921875,5972.4396179587975,5896.599114873607,5953.4794921875,4795300,51.78920248911167,5959.167626953125,5886.360791015625,5978.88619140625,-2.734654083184978,-4.804339001024708,2.0696849178397296
2018-02-20,5877.63916015625,5972.439791771673,5858.679033833166,5915.5594128024195,3427900,46.530842703699236,5944.947534179688,5892.428046875,5972.439750976562,-6.483147753026969,-6.842266136693359,0.3591183836663898
2018-02-21,5782.8388671875,5896.59963178791,5782.8388671875,5877.639504354508,10740300,40.93574232896422,5927.883447265625,5894.70326171875,5965.045307617187,-16.90853627530487,-13.814123727177007,-3.094412548127862
2018-02-22,5839.71875,5877.639001623376,5782.838372564935,5801.798498376623,6050200,45.19397115812069,5916.507348632813,5897.357666015625,5959.546865234375,-20.346459294606575,-13.80163739718297,-6.5448218974236045
2018-02-23,5782.8388671875,5896.59963178791,5782.8388671875,5858.679376921106,6811800,41.937888022269355,5899.44326171875,5900.012099609375,5953.669228515625,-27.34554679283974,-16.64057991633291,-10.704966876506832
2018-02-26,5725.9580078125,5820.758637080919,5725.9580078125,5801.7985112272345,7874900,38.91821426155477,5879.535131835937,5900.770498046875,5947.222783203125,-37.05503664281969,-21.080055813050283,-15.974980829769404
2018-02-27,5744.91845703125,5820.758964714831,5725.958330110355,5782.83871087304,7910600,40.457252798663454,5871.003100585937,5899.632890625,5940.776337890625,-42.72739272272793,-21.401929514366817,-21.32546320836111
2018-02-28,5744.91845703125,5801.7988377939355,5725.958330110355,5725.958330110355,10388200,40.45725279866345,5864.3670654296875,5900.012099609375,5934.7091015625,-46.684624492198054,-20.287329027069553,-26.3972954651285
2018-03-01,5896.599609375,5915.559736736334,5725.958463122991,5744.918590484325,8506100,51.739212353193075,5867.211108398437,5902.6665234375,5929.969072265625,-37.15308025575996,-8.604627832505166,-28.548452423254794
2018-03-02,5839.71875,5896.5991274350645,5820.758624188312,5877.639001623376,6042200,48.061543691099786,5864.3670654296875,5903.80412109375,5925.22904296875,-33.799453692958195,-4.200801015762718,-29.598652677195478
2018-03-05,5763.87841796875,5839.718923468339,5744.918291593853,5839.718923468339,13235400,43.6104929826976,5856.783032226563,5903.424912109375,5919.730610351562,-36.83673055145664,-5.790462299408926,-31.046268252047714
2018-03-06,5650.1171875,5763.877936241611,5650.1171875,5763.877936241611,11197500,37.93522664244737,5849.198950195312,5900.770478515625,5913.663359375,-47.87154156856832,-13.46021865321648,-34.41132291535184
2018-03-07,5517.39697265625,5650.11786203286,5498.436845602449,5650.11786203286,9955000,32.604353757357174,5824.550805664063,5895.461640625,5905.7001123046875,-66.55887170833012,-25.71803903438262,-40.840832673947496
